Blood Bank Name,Address,City,State,Contact ,Helpline
White Cross Blood Bank ,"White Cross Blood Bank (Vol.), 2nd Floor, Kandhari Building, 
Opposite to S.T. Workshop, Naroda Road Patia, Naroda , Ahmedabad",Ahmedabad,Gujarat,079 22815227,1
Adarsh Pathology Laboratory and Blood Bank,"Adarsh Pathology Laboratory and Blood Bank, 1st Floor, Samjuba Hospital, Bapunagar, Ahmedabad",Ahmedabad,Gujarat,"079 22749146, 079 22746672",1
Gujarat Blood Bank Paldi,"Gujarat Blood Bank (Voluntary), Pathology Laboratory, 101, Span Trade Centre, Opp. Kochrab Ashram, Near Paldi Char Rasta, Paldi, Ahmedabad",Ahmedabad,Gujarat,079 27413719,1
Karnavati Blood Bank and Pathology Lab,"Karnavati Blood Bank and Pathology Lab, 36, Subhlaxmi Complex, Naranpura, Ahmedabad",Ahmedabad,Gujarat, 079 27415150,1
Cross World Voluntary Blood Bank ,"Cross World Voluntary Blood Bank, Chandraprabhu Complex,
Sardar Patel Cross Road, Ahmedabad",Ahmedabad,Gujarat,"079 26568004, 079 26401959",1
Maha Gujarat Blood Bank,"Maha Gujarat Blood Bank (Voluntary) and Pathology Lab, 21, Parth  Comp., Near Maninagar Fire Station, Maninagar, Ahmedabad",Ahmedabad,Gujarat,"079 25451331, 079 25461641",1
Supratech Voluntary Blood Bank,"Supratech Voluntary Blood Bank, Mild Stone Building, 1st Floor, Near Drive-in Cinema, Thaltej, Ahmedabad",Ahmedabad,Gujarat,"079 40058958, 079 40054400, 079 40057317",1
Sterling Hospital,"Blood Bank, Sterling Hospitals, Drive in Road, Near Gurukul, Memnagar Road, Ahmedabad",Ahmedabad,Gujarat,7940011620,1
Ami Pathology Laboratory and Blood Bank,"Ami Pathology Laboratory and Blood Bank, 14-15 Baronet Tower (Complex), Tollnaka, Highway , Ramnagar, Sabarmati, Ahmedabad",Ahmedabad,Gujarat,079 27501202,1
Gujarat Blood Bank Naranpura,"Gujarat Blood Bank (Voluntary) and Pathology Laboratory,  
1-2, Subhlaxmi Complex, Naranpura, Ahmedabad",Ahmedabad,Gujarat,079 27413719,1
Indian Red Cross Society Blood Bank,"Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus",Amreli,Gujarat,"02792 223034, 02792 232854",1
Indian Red Cross Society Blood Bank,"Blood Bank, Indian Red Cross Society, Sardar Bhavan, Opposite to Municipal Building, Sardar Ganj Road, Anand",Anand,Gujarat,"02692 243406, 02692 268822",1
Indu Voluntary Blood Bank,"Indu Voluntary Blood Bank Managed by Charotar Health Research Foundation Trust, Jashganga Complex, Station Road, Anand",Anand,Gujarat,02692 259596,1
Ghanshyam Pathlology Laboratory and Blood Bank,"Ghanshyam Pathlology Laboratory and Blood Bank, Krishna Road,  B/h . Mayfair Hotel, Anand ",Anand,Gujarat,"02692 252744,   02692 252667",1
Lions Club Khambat Blood Bank,"Blood Bank, The Secretary, Lions Club (Society), Lions Medical Centre, Pith Bazar, Khambhat, Anand District",Kambhat,Gujarat,02698 220516,1
A.D. Gorwala Karamsad Blood Bank  ,"A.D.Gorwala Blood Bank, Pramukhswami Medical College and Shree krishna Hospital, Gokulnagar, Karamsad, Anand",Karamsad,Gujarat,"02692 228323, 02692 228324",1
Indian Red Cross Society Blood Bank Petlad,"Blood Bank, Indian Red Cross Society, Opposite to Ranchodji Temple, Petlad, Anand",Petlad,Gujarat,02697 222251,1
Gandhi Lincon Hospital Blood Bank,"Bhansali Trust sanchalit Voluntary Blood Bank, Gandhi Lincon Hospital, Nr.Municipal Complex, Nr. Sardar-Baug, Deesa, 
Banaskantha",Banaskantha,Gujarat,02744 220172,1
"M. U. Pethani Voluntary Blood Bank, Palanpur","Bhagwan Mahavir Seva Samiti Sanchalit Mafatben Uttamlal Pethani Voluntary Blood Bank, Baradpura, Near Delhi Gate,                           Palanpur, Banaskantha",Banaskantha,Gujarat,"02742 246914, 02742 245899",1
General Hospital Blood Bank Palanpur ,"Blood Bank, General Hospital, Palanpur, Banaskantha",Banaskantha,Gujarat,02742 253083,1
Gayatri Pathology Laboratory and Voluntary Blood Bank,"Gayatri Pathology Laboratory and Voluntary Blood Bank, Kirti Chamber, Kirti Stambh Road, Palanpur, Banaskantha",Banaskantha,Gujarat,02742 253475,1
Bhoomi Voluntary Blood Bank Palanpur,"Bhoomi Voluntary Blood Bank, Paulamo House, Near Bridge, 
Palanpur, Banaskantha",Banaskantha,Gujarat,"02742 260632, 02742 260633, 02742 256475",1
Vikas Voluntary Blood Bank,"Vikas Voluntary Blood Bank, Computerized Pathology Laboratory, Kirti Harsh Complex, Nr. Gayatri Mandir, Highway Road, Deesa, Banaskantha",Banaskantha,Gujarat,02744 230342,1
Dharti Voluntary Blood Bank,"Dharti Voluntary Blood Bank, 1st Floor, Super Market S.T. Road, Dhanera, Banaskantha",Banaskantha,Gujarat,02748 222443,1
Saraswati Voluntary Blood Bank,"Saraswati Voluntary Blood Bank. Saraswati Hospital, Opposite to Petrol pump, Dhanera, Banaskantha",Banaskantha,Gujarat,02748 222011,1
Gayatri Voluntary Blood Bank,"Gayatri Voluntary Blood Bank, Kiran Complex,Highway Road, 
Deesa, Banaskantha",Banaskantha,Gujarat,02744 230342,1
Adarsh Voluntary Blood Bank ,"Adrash Blood Bank (Shree Sharswati Trust - Tharad), Adarsh Complex,  2nd Floor, Ambika Nagar Society-1, Highway Road, 
Tharad, Banaskantha",Tharad,Gujarat,,1
Indian Red Cross Society Blood Bank,"Blood Bank, Indian Red Cross Society, Sevashram Hospital Compound, Bharuch",Bharuch,Gujarat,"02642 244281, 02642 243603",1
Kumarpal Gandhi Blood Bank,"&#34;B&#34; Block,1st Floor, Near Palika Shopping Centre, Near Gujarat Gas Circle, Ankleshvar",Bharuch,Gujarat,02646 244530,1
Sir T. General Hospital Blood Bank,"Blood Bank, Sir T. General Hospital, Dr. H. L. Vaidhya Marg, 
Kalanala, Bhavnagar",Bhavnagar,Gujarat,"0278 2520091, 0278 2423250",1
Bhavnagar Blood Bank,"Bhavnagar Blood Bank, Ofice No. 1,2,3 - Plot No. 1686, B-Wing, 1st Floor, Municipal Commercial Complex, Sardar Nagar Circle, Sardarnagar, Bhavnagar",Bhavnagar,Gujarat,0278 2561526,1
Bambhaniya Voluntary Blood Bank,"Bambhaniya Voluntary Blood Bank Trade Centre, Kalanain Circle, Bhavnagar",Bhavnagar,Gujarat,"0278 2224744, 0278 3004744",1
Navkar Charitable Trust Mahuva Blood Bank,"Blood Bank Navkar Charitable Trust, Opposite to Nagrik Bank, Vasi Talav, Mahuva, Bhavnagar",Bhavnagar,Gujarat,02844 224464,1
Smt. Sonalien A. Shah Blood Bank,"Blood Bank, Omkar Paramedical Charitable Trust Organization, Smt. Sonaliben A. Shah Blood Bank, 2nd Floor, Patel Chamber,Paliad Road, Botad, Bhavnagar",Bhavnagar,Gujarat,"0278 255361, 0278 256099",1
Tulsi Pathology Laboratory and Blood Bank,"Tulsi Pathology Laboratory and Blood Bank, Bhairav Para, 
Palitana, Bhavnagar",Bhavnagar,Gujarat,02848 252707,1
 Indian Red Cross Society Blood Bank ,"Sanchalit Dr. Mohsinbai S. Lenwala Voluntary Blood Bank, Dr.Harilal C.Seth, Red Cross Bhavan, Police Line road, Dahod",Dahod,Gujarat,02673 224422/23,1
Samarth Raktdan Kendra                                                             ,"Samarth Raktdan Kendra, Gausala chowk, Daulatgunj Bazar, Dahod",Dahod,Gujarat,"02673 223139, 02673 242514",1
Kiran Voluntary Blood Bank                                                                       ,"Kiran Voluntary Blood Bank, Near Hotel Vrundavan,
Station Road, Dahod",Dahod,Gujarat,02673 246212,1
General Hospital Blood Bank Ahwa,"Blood Bank, General Hospital, Ahwa, Dang",Ahwa,Gujarat,02631 220205,1
"Indian Red Cross Society (IRCS), Kalol, Gandhinagar","Blood Bank, Indian Red Cross Society, Sheth C.S. Municipal Hospital, Kalol, Gandhinagar",Gandhinagar,Gujarat,02764 227836  ,1
"GMERS MEDICL COLLEGE ATTACHED GENERAL HOSPITAL, GANDHINAGAR","Blood Bank, H-1 Block, First Floor, Civil Hospital Campus, Opposite to Pathik Ashram, Sector-12, Gandhinagar ",GANDHINAGAR,Gujarat,"079 23221931, 079 23221932 Ext. 138",1
Shraddhadeep Pathology Lab and Blood Bank,"Shraddhadeep Pathology Lab and Blood Bank, 
Shiv Complex , Plot no. 329, 1st Floor, Sector-16, Gandhinagar",Gandhinagar,Gujarat,079 23222474,1
 Apollo Hospital International Limited Blood Bank,"Blood Bank, Apollo Hospital International Limited, Block No. 1/A, GIDC estate, BHAT, Gandhinagar",Gandhinagar,Gujarat,079 66701825,1
Indian Medical Association (IMA) Blood Bank,"Blood Bank, Indian Medical Association (IMA), Manasa Charitable Trust sanchalit C.M.K. and P.N.N. Voluntary Blood Bank, 1st floor, Vijay Complex,  Mansa-Gandhinagar Highway, Manasa-382845, Gandhinagar",Mansa,Gujarat,02763 270085,1
G.G.Hospital Blood Bank,"Blood Bank, The  M.P.Shah  Medical College and Guru Govindsinh Hospital, Jamnagar",Jamnagar,Gujarat,0288 2661052,1
Jamnagar Voluntary Blood Bank,"Jamnagar Voluntary Blood Bank, 1st Floor, Shakuntla Apart.
Hawai Chowk, Jamnagar",Jamnagar,Gujarat,"0288 2673339, 0288 2541070",1
General Hospital Blood Bank,"Blood Bank, General Hospital, Jamkhambhalia, Jamnagar",Jamnagar,Gujarat,02833 234704,1
Tata Chemical Limited Blood Bank Mithapur,"Blood Bank, Tata Chemical Limited, Okhamandal, Mithapur, 
Jamnagar",Jamnagar,Gujarat,9227887029,1
General Hospital Blood Bank Junagadh,"Blood Bank, General Hospital, Azad Chowk, Mahatma Gandhi Road, Junagadh",Junagadh,Gujarat,"0285 2651436, 0285 2620652",1
Divyajyoti Charitable Voulantary Blood Bank,"Divyajyoti Charitable Voulantary Blood Bank, Varsing Pur Road, B/H Jalaramvadi, Una, Junagadh",Junagadh,Gujarat,"02875 252410, 02875 224236",1
Shri Jivanprakash Foundation Voluntary Blood Bank,"Shri Jivanprakash Foundation Voluntary Blood Bank, Vikram Commercial Complex, Sardar Baug Road, Junagadh",Junagadh,Gujarat,"0285 2630672, 0285 2631672",1
"Navjeevan Blood Bank and Clinical Laboratory,  Veraval","Navjeevan Blood Bank and Clinical Laboratory, Lilashah Shopping Centre, First Floor, Nr. Bus Station, Veraval, 
Junagadh",Junagadh,Gujarat,02876 221415 ,1
Navdeep Blood Bank  ,"Navdeep Blood Bank, Sankalp Complex, First Floor, 
S.T. Road,opp Dr. Chikkhalia Hospital, Junagadh",Junagadh,Gujarat,0285 2631127,1
"Sardar Patel voulantary Blood Bank, Keshod","Sardar patel voulantary Blood Bank, 1st Floor Sheetal Building, Ramnagar station road, Keshod, Junagadh ",Keshod,Gujarat,02871 233353,1
"G.K. General Hospital Blood Bank, Bhuj","Blood Bank, G.K. General Hospital, Bhuj, Kutch",Bhuj,Gujarat,02832 250150,1
Rajabhai Patel Blood Bank (IMA),"Indian Medical Association Gandhidham Trust (Reg.), 
Rajabhai Patel Blood Bank, Gandhidham Trust, Near Gurukul Road, Gandhidham, Kutch",Gandhidham,Gujarat,"02836 257366,  02836 257323, 02836 257333",1
Mayur Voluntary Blood Bank   Mandvi,"Mayur Voluntary Blood Bank & Pathology Laboratory, 
Azad Chowk, Mandvi, Kutch",Kutch,Gujarat,02832 231324,1
Jivan Jyot Blood Bank  ,"Jivanjyot Blood Bank, 63, A/B, Vijyanagar, New Hospital Road, Bhuj, Kutch
",Kutch,Gujarat,02832 222812,1
"Matrushri Meghbai Pramji Jetha Hospital and Research Centre, Bhuj ","Blood Bank, Matrushri Meghbhai Premaji Jetha Hospital and Research Centre, Sardar Patel Vidhya Sankul, Bhuj - Mundra Road, Kutch.",Kutch,Gujarat,"02832 231133, 02832 231144",1
Indian Red Cross Society Blood Bank ,"Indian Red Cross Society managed, C.R. Parikh Blood Bank, Indian Red Cross Society Building, Railway Station Road, 
Kapadwanj, Kheda",Kapadwanj,Gujarat,02691 263255 ,1
Indian Red Cross Society Blood Bank Nadiad,"Blood Bank, Indian Red Cross Society, Shri H.V.Desai Blood Bank, Red Cross Building, Santram Road, Nadiad, Kheda",Nadiad,Gujarat,0268 2566944,1
Muljibhai Patel Urological Hospital Blood Bank,"Blood Bank, Muljibhai Patel Urological Hospital, Dr. V.V. Desai Marg, Nadiad, Kheda",Nadiad,Gujarat,"0268 2520323, 0268 2520325",1
Gujarat Methodist Church Cardiac Care and Research Society Blood Bank,"Blood Bank, Gujarat Methodist Church Centre Care and Research Society, Mission Road, Nadiad, Kheda",Nadiad,Gujarat,"0268 2555711, 0268 2555723",1
General Hospital Blood Bank Mehsana,"Blood Bank, General Hospital, Near Bus Stand, Rajmahal Road, Mehsana",Mehsana,Gujarat,"02762 297301, 02762 221475 ",1
Mehsana Jaycees Charitable Trust Blood Bank,"Mehsana Jaycees Charitable Trust Sanchalit Sarvodaya Commercial Co.op Voluntary Blood Bank, Pinky Super Bazar, Dairy Road, Mehsana",Mehsana,Gujarat,"02762 251252, 02762 243634 ",1
"Sardar Seva Trust, Unjha Nagrik Sahkari Voluntary Blood Bank","Sardar Seva Trust Sanchalit Unjha Nagrik Sahkari Bank Ltd., Voluntary Blood Bank, 1st Floor Poonam Complex, Unjha
Mehsana",Unjha,Gujarat,02767 248755,1
Visnagar Voluntary Blood Bank,"Jivan Jyot Charitable Trust, Sanchalit Visnagar Voluntary Blood Bank, Station Road, Visnagar, Mehsana",Visnagar,Gujarat,02765 220903,1
Indian Red Cross Society Blood Bank Navsari,"Blood Bank, Indian Red Cross Society, B.K.Shah Red Cross Bhavan, Station Road, Navsari",Navsari,Gujarat,"02637 257452, 02673 253172",1
Lions Medical Trust Blood Bank Chikhali,"Blood Bank, Lions Medical Research and Educational Charitable Trust Blood Bank, Opposite to Referral Hospital, 
Chikhali, Navsari",Navsari,Gujarat,02634 234311,1
N. M. Patel Blood Bank Bilimora,"Blood Bank, Lions Club Billimora Charitable Foundation Sponsored by N.M. Patel Blood Bank, Shroff Complex, 
Nr. Dr. Gupta Hospital, Bilimora, Navsari",Navsari,Gujarat,02634 285913,1
Indian red Cross Society Blood Bank Godhara,"Blood Bank, Indian red Cross Society, Civil Lines, Godhra, 
Panchmahal",Godhara,Gujarat,02672 252830,1
"General Hospital Blood Bank Godhra, ","Blood Bank, General Hospital, Godhra, Panchmahal",Godhra,Gujarat,02672 243192,1
Raktdan Kendra Voluntary Blood Bank Godhra ,"Raktdan Kendra Voluntary Blood Bank, Modi Ni Wadi No. 3, Near Nehru Garden, Godhra, Panchmahal",Godhra,Gujarat,"02672 650004, 02672 242153",1
Seventilal Kantilal Blood Bank,"The Rotary Club of Patan Charitable Trust Sanchlit Seventilal Kantilal Blood Bank, &#39;Rotary Bhavan&#39;, Khetarvari, Patan",Patan,Gujarat,"02766 231477, 02766 233496",1
GMERS Medical College and Hospital Blood Bank Dharpur ,"Blood Bank, GMERS Medical College, Dharpur, Patan ",Patan,Gujarat,02766 233311                                     ,1
"Bahansali Trust Raktdan Kendra, Radhanpur ","Bahansali Trust Raktdan Kendra, Bahansali Trust Hospital, 
Highway, Radhanpur, Patan",Patan,Gujarat,"02746 277343, 02746 277249",1
General Hospital Blood Bank Siddhpur,"Blood Bank, General Hospital, Siddhapur, Patan",Siddhpur,Gujarat,02767 223086,1
General Hospital Blood Bank Porbandar,"Blood Bank, General Hospital, Porbandar",Porbandar,Gujarat,0286 2242910,1
Asha Children Hospital and Blood Bank,"Asha Children Hospital and Blood Bank, Near Vasi Talav,
Porbandar",Porbandar,Gujarat,0286 2210522,1
Shri Ram Blood Bank Porbandar,"Shri Ram Blood Bank, Star Compound, M.G. Road, 
Porbandar",Porbandar,Gujarat,0286 2240092,1
Astha Voluntary Blood Bank Gondal,"Astha Voluntary Blood Bank, Jetpur Road, Opposite to
Hava Mahel, Near G.F.D.C. Gate, Gondal, Rajkot",Gondal,Gujarat,02825 220828,1
P.D.U. Medical College Blood Bank,"Blood Bank, P.D.U. Medical College and General Hospital,
R.Nc.102, Jamnagar Road, Rajkot",Rajkot,Gujarat,"0281 2450385, 0281 2458337, 0281 2458338, 0281 2458339",1
Rajkot Voluntary Blood Bank and Research Centre,"Rajkot Voluntary Blood Bank and Research Centre, 
Pitroda House, Malaviya Road, Rajkot",Rajkot,Gujarat,0281 2234242 ,1
Red Cross Blood Bank Rajkot,"Red Cross Building, 1st Floor, Suchak Road, Near Kundaliya College, Rajkot",Rajkot,Gujarat,"0281 2466260, 08866871717",1
 Saurastra Voluntary Blood Bank Rajkot,"Kathiyawad Medical Education Trust sanchalit Saurastra Voluntary Blood Bank and Research Centre, Shashikunj commercial complex, 621, Mangal Park, Nirmalaconvent Road, Near Madhi Chowk, Rajkot",Rajkot,Gujarat,0281 2450301,1
General Hospital Blood Bank Morbi,"Blood Bank, General Hospital, Morbi, Rajkot",Rajkot,Gujarat,"02822 230538, 02822 230203",1
Nationality Development Foundation Blood Bank Rajkot,"Blood Bank, Nationality Development Foundation,
Smt. S.C.Patel (Field Marshal Blood Banks), Medicare, 3rd Floor, Vidyanagar Main Road, Rajkot",Rajkot,Gujarat,"0281 2480043, 0281 2481717",1
"Nathani Voluntary Blood Bank,  Rajkot ","Nathani Voluntary Blood Bank and Blood Tranfusion. 
11, Tejash Building,20/22, New Janpath Plot, Rajkot ",Rajkot,Gujarat,"0281 2480659, 0281 6522111",1
Shiv Voluntary Blood Bank Morbi,"Shiv Voluntary Blood Bank, 2nd Floor, Pawan Complex, Sanala Road, Near Sagar Hospital, Morbi, Rajkot",Rajkot,Gujarat,02822 292577                                                    ,1
Jetpur Medical Foundation Trust Blood Bank Jetpur,"Blood Bank, Jetpur Medical Foundation Trust, 2nd Floor, opp. Union Bank of India, Kanakiya Plot, Jetpur, Rajkot",Rajkot,Gujarat,02827 226123,1
Jagruti Charitable Trust Blood Bank Dhoraji,"Jagruti Charitable Trust Blood Bank, Azad Chowk, Three Gate, Dhoraji, Rajkot",Rajkot,Gujarat,02824 222485,1
GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,"Blood Bank, GMERS Medical College Attach Sir Pratap General Hospital, Himmatnagar, Sabarkantha",Himmatnagar,Gujarat,"02772 246618, 02772 241551",1
Indian Red Cross Society Blood Bank Himmatnagar,"Blood Bank., Indian Red Cross Society Sabarkantha District Branch, Sheth Shri Jamanadas Madhavji Tanna , Red Cross Bhavan, Nr. G.P.O., State Highway, 
Himmatnagar, Sabarkantha",Himmatnagar,Gujarat,"02772 240789, 02772 245110",1
Patel Voluntary Blood Bank Modasa,"Patel Voluntary Blood Bank, Dr. Yogesh Upadhyay&#39;s Hospital, Siddhi Vinayak Comlpex, Shamlaji Road, Modasa, 
Sabarkantha",Sabarkantha,Gujarat,,1
Trimurti Blood Bank,"Trimurti Blood Bank, B/H Trimurti Hospital, B/H Bus stop, Srinagar, Idar - 383430, Sabarkantha",Sabarkantha,Gujarat,02778 251763,1
Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa,"Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab, 2nd floor, Upasana Complex, Nr. S.T. Stand, Modasa, Sabarkantha.",Sabarkantha,Gujarat,"02774 247890, 02774 243690",1
New Civil Hospital Blood Bank,"Blood Bank, The New Civil Hospital, Outside Majura Gate, 
Surat",Surat,Gujarat,"0261 2230909, 0261 2244456 (ext 312), 0261 2244457, 0261 2244458, 0261 2244459, 0261 2208312",1
Surat Raktdan Kendra,"Surat Raktdan Kendra, Udhna Khatodara Health Centre, 
Near Chosath Joganiyo Mataji Mandir, Udhna, Magdalla Road, Surat.",Surat,Gujarat,"0261 2630114, 0261 2635533",1
"Lok Samarpan Raktadan Kendra, Surat","Lok Samarpan Raktadan Kendra Blood Bank, 
15, Miranagar, Opp.Saurastra Bhavan,
Mini Bazar, Varachha Road, 
Surat",Surat,Gujarat,"0261 2553020, 0261 2547575",1
Shree Mahavir Health And Medical Relief Society Blood Bank,"Blood Bank, Shree Mahavir Health And Medical Relief Society, Shri B.D.Mehta  Mahavir Heart Institute, Shree Mahavir Health Campus,  Athwagate, Ring road, Surat",Surat,Gujarat,"0261 2471770, 0261 2462116",1
Shree Sardar Smarak Hospital Blood Bank,"Blood Bank, Shree Sardar Smarak Hospital Blood Bank, 
Station Road, Sardar Baug, Bardoli, Surat",Surat,Gujarat,"02622 220089, 02622 220507 ",1
SMIMER Hospital Blood Bank,"Blood Bank, Surat Municipal Institute for Medical Education and Research, (SMIMER), Umarwada, Surat",Surat,Gujarat,"0261 2368040, 0261 2368041, 0261 2368042, 0261 2368043, 0261 2368044 (Extn.1728,1729)",1
 Surat Health Care Foundation Blood Bank,"Blood Bank, Aminaben Gangat and Ayeshaben Patel Blood Bank, Surat Health Care Foundation, C/o. Lokhat Hospital, Nr. Rampura Petrol Pump, Rampura, Surat",Surat,Gujarat,"0261 2401362, 0261 2400094",1
General Hospital Surendranagar Blood Bank,"Blood Bank, General Hospital, Surendranagar",Surendranagar,Gujarat,02752 222052 ,1
C. U. Shah Medical College and Hospital Blood Bank,"Blood Bank, C. U. Shah Medical College and General Hospital, Dudhrej Road, Surerndranagar",Surendranagar,Gujarat,"02752 287041, 02752 287000, 02752 287001, 02752 287002",1
Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,"Shraddha Vol. Blood Bank and Pathology Laboratory, Halani Chamber, 1st floor, Zala Road, Dhangadhra, Surendranagar",Surendranagar,Gujarat,02754 280301,1
Laxmiben Kushalbhai Patel Blood Bank ,"Laxmiben Kushalbhai Patel Blood Bank, 1st Floor, Janak Smarak  Hospital, Kanpura, Vyara, Tapi",Tapi,Gujarat,02626 220251,1
Maliba Raktdan Kendra (IRCS),"Blood Bank, Indian Red Cross Society, Maliba Raktadan Kendra, Bhikhiba Redcross Bhavan, Vilasini K. Desai aarogya Sankul, Near Vanchetana, Near Kakrapar, Vyara, Tapi",Vyara,Gujarat,02626 290181,1
S. S. G. Hospital Vadodara,"Blood Bank, The Government Medical College and S.S.G. Hospital, Vadodara",Vadodara,Gujarat,0265 2424848 ,1
Jamnabai Blood Bank,"Blood Bank, Jamnabai General Hospital, Vadodara",Vadodara,Gujarat,0265 2517400,1
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ","Medical Care Centre Trust, Shri Jalaram Blood Bank, Kashiben Gordhandas Patel Children Hospital,Surajben Gordhanbhai Patel Women&#39;s Hospital, Jalaram Marg, 
Karelibaug, Vadodara",Vadodara,Gujarat,0265 2464130,1
Suraktam Blood Bank Vadodara,"Suraktam Blood Bank, G-7, Blue Chip Building, Near Stock Exchange, Sayajiganj, Vadodara",Vadodara,Gujarat,"0265 2363660, 0265 2225903",1
Kailash Cancer Hospital & Research Centre Blood Bank.,"At: Muni seva ashram, po: Goraj, Tal : Waghodiya, Dist : vadodara, State : Gujarat.",Vadodara,Gujarat,"0265 3961300, 0265 3961357",1
GMERS Medical College and General Hospital Blood Bank,"Blood Bank, GMERS General Hospital and Medical College, 
Gotri",Vadodara,Gujarat,"0265 2398008, 0265 6541395",1
Indu Blood Bank Vadodara,"Indu Blood Bank, III Floor, Vinraj Plaza, Opposite to Government Press, Khoti, Vadodara",Vadodara,Gujarat,"0265 2437676, 0265 2411477",1
Dhiraj General Blood Bank Vadodara,"Dhiraj General Blood Bank, Mu. Post:-Waghodiya, Pipariya, Vadodara",Vadodara,Gujarat,"02668 225264, 02668 245265, 02668 245266",1
Bhailal Amin General Hospital Blood Bank,"Blood Bank, Bhailal Amin General Hospital Blood Bank, 
Alembic Road, Vadodara",Vadodara,Gujarat,"0265 2307038, 0265 2307039, 0265 2286666",1
SBPP Cooperative Bank Foundation Blood Bank,"Blood Bank, SBPP Cooperative Bank Foundation Blood Bank of Manav Arogya Seva Kendra,  Jesal Cooperative and Housing Society, Near Pardi Hospital, National Highway-No.-8, Killa Pardi, Valsad",Pardi,Gujarat,0260 2374422,1
General Hospital and GMERS Medical College Blood Bank,"Blood Bank, GMERS Medical College and General Hospital, 
Halar Road, Valsad",Valsad,Gujarat,"02632 251744, 02632 251911",1
Valsad Raktdan Kendra,"Shirin and Jamshed Gulzar Regional Blood Centre,
Valsad Raktdan Kendra (A Voluntary Blood Bank and Research Centre), RNC Free Eye Hospital Compound,
Opp. Mamlatdar Office, Valsad",VALSAD,Gujarat,"02632 242944, 02632 253650                 ",1
"Nukem Blood Bank, Vapi","Nukem Blood Bank and Haria Rotary Hospital, 
Plot No. 363 A- 364, G.I.D.C., Vapi, Valsad",Valsad,Gujarat,"0260 2430654, 0260 2400053, 0260 6638888",1
Smt. Puriben Popat Lakha Blood Bank,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust,
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C, 
Vapi, Valsad",Vapi,Gujarat,"0260 2434600, 0260 2434601",1
Military Hospital Blood Bank Ambala,"Blood Bank, Military Hosptial, Ambala Cantt.",Ambala,Haryana,0171 2626557 ,1
MM Institute of Medical Sciences and Research Blood Bank,Mulana,Ambala,Haryana,01731 304581,1
Sanjeevani Blood Bank,"111, Near Railway Road, Sadar Bazar, Ambala Cantt.",Ambala,Haryana,0171 4002002,1
General Hospital Blood Bank Ambala City ,"Civil Hospital, Ground Floor, Near Polytechnic Chowk ",Ambala City,Haryana,"01712554455, 0171 2552908,",1
Philadelphia Mission Hospital Blood Bank,"Post box 40, Near RA Chowk, Ambala",Ambala City,Haryana,0171 2553295,1
General Hospital Bhiwani Blood Bank ,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,",Bhiwani,Haryana,01664 253014,1
City Blood Bank,"Circular Road, Bhiwani",Bhiwani,Haryana,,1
Gold Field Hospital and Research Centre,"Village and post office Chhainsa, Ballabgarh, Faridabad.",Ballabgarh,Haryana,"0129 2209395, 0129 2209390 ",1
Badshah Khan General Hospital Blood Bank,"New Industrial Township, Faridabad",Faridabad,Haryana,0129 2411881,1
Escorts Hospital and Research Center Limited Blood Bank,"Neelam Bata Road, NIT Faridabad.",Faridabad,Haryana,"0129 2466022, 0129 2466020",1
M/s Sunflag Hospital and Research Centre Blood Bank,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",Faridabad,Haryana,"0129 4199156, 0129 4199159",1
Sarvodaya Hospital and Research Centre,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",Faridabad,Haryana,0129-4184444,1
QRG Central Hospital and Research Centre Blood Bank,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,",Faridabad,Haryana,"0129 4090300 (Extn. 1956, 1958, 1962)",1
Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,"No - 1697, K Block, NIT, Faridabad,
",Faridabad,Haryana,0129 402 9070,1
Asian Institute of Medical Sciences Blood Bank,"Badkhal Flyover Road, Sector 21-A, Faridabad",Faridabad,Haryana,"0129 4253196, 01294253197",1
Metro Heart Institute with Multispecialty,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",Faridabad,Haryana,0129 4277777,1
General Hospital Blood Bank Fatehabad,"District Blood Tranfusion Center, General Hospital 
Fatehabad",Fatehabad,Haryana,01667-222443,1
Jagdambe Blood Bank,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan",Tohana,Haryana,01692 230692,1
Paras Health Care Private Limited Blood Bank,"C-1, Sushant Lok City, Phase I, Sector 43, Gurgaon",Gurugram,Haryana,0124 4585555,1
Artemis Medicare Services Limited Blood Bank,"Artemis Hospital, Sector-51, Gurugram",Gurugram,Haryana,"0124-6767999,  0124 676 7000",1
